STATION_ID,variable,min,mean,median,max
5ARDC007.30,SECCHI_DEPTH,0.3,0.6619047619047619,0.7,1
6APNK001.26,SECCHI_DEPTH,1.7,3.8689655172413793,3.8,5.3
6APNR001.82,SECCHI_DEPTH,1.7,4.65,4.800000000000001,7.9
6BPWL024.64,SECCHI_DEPTH,0.9,3.0533333333333332,3.05,6
6BXAR000.69,SECCHI_DEPTH,2.3,3.3566666666666665,3.2,5.3
6CBRU010.91,SECCHI_DEPTH,1.8,3.0208333333333335,3,4.6
6CHUN004.76,SECCHI_DEPTH,1.3,2.3666666666666667,2.5,3.4
6CLAU001.84,SECCHI_DEPTH,1.5,3.3875,3,5.6
7-LAS000.06,SECCHI_DEPTH,0.2,0.438,0.4,0.9
7-LAS001.03,SECCHI_DEPTH,0.3,0.41363636363636364,0.4,0.7
7-LAW000.04,SECCHI_DEPTH,0.3,0.45483870967741935,0.4,0.9
7-LAW001.24,SECCHI_DEPTH,0.3,0.436,0.4,0.6
7-LTR000.04,SECCHI_DEPTH,0.2,0.4041666666666667,0.4,0.8
7-LTR000.95,SECCHI_DEPTH,0.3,0.39433962264150946,0.4,0.6
7-POQ005.72,SECCHI_DEPTH,0.8,1.4457142857142857,1.2,2.6
7-POQ006.84,SECCHI_DEPTH,0.6,1.3388888888888888,1.2,2.4
8-CLC003.48,SECCHI_DEPTH,0.9,1.2444444444444445,1.2,2.1
8-COL000.99,SECCHI_DEPTH,1.2,1.9283333333333335,1.725,3.5
8-ELK005.45,SECCHI_DEPTH,1.55,2.0055555555555555,1.85,3.05
8-FRC000.68,SECCHI_DEPTH,0.7,1.1071428571428572,1.1,2
8-NAR034.92,SECCHI_DEPTH,0.8,1.7901639344262295,1.8,2.9
8-NAR043.00,SECCHI_DEPTH,0.9,1.7979477611940298,1.8,3.2
8-NAR044.68,SECCHI_DEPTH,0.7,1.865909090909091,1.8,3.15
8-NAR047.69,SECCHI_DEPTH,0.8,1.8113207547169812,1.8,3
8-NAR050.90,SECCHI_DEPTH,0.9,1.5393939393939393,1.5,2.2
8-NAR054.17,SECCHI_DEPTH,0.3,0.9159574468085107,0.9,1.5
8-NAR058.01,SECCHI_DEPTH,0.25,0.45408163265306123,0.4,0.95
8-NAR058.53,SECCHI_DEPTH,0.2,0.4323529411764706,0.4,0.8
8-NIR012.99,SECCHI_DEPTH,0.5,1.111764705882353,1.1,1.7
8-PLT001.34,SECCHI_DEPTH,0.4,0.9255555555555556,0.925,1.95
8-PMC002.13,SECCHI_DEPTH,0.6,1.3083333333333333,1.2,2.2
8-PMC003.18,SECCHI_DEPTH,0.7,1.02,1,1.8
8-PMC007.15,SECCHI_DEPTH,0.3,0.6019607843137255,0.6,0.9
8-PMC008.60,SECCHI_DEPTH,0.1,0.2884090909090909,0.25,0.65
8-QEN007.02,SECCHI_DEPTH,1.2,2.297142857142857,2.2,4.3
8-QEN007.22,SECCHI_DEPTH,1.2,2,1.95,3.1
8-QEN007.65,SECCHI_DEPTH,1.3,2.196551724137931,2.1,3.5
8-QEN008.58,SECCHI_DEPTH,0.9,1.2766666666666666,1.2,2
