Variable,STATION_ID,Month,Mean,Min,Max,Nobs
SECCHI_DEPTH,4AROA183.64,5,1.54,0.5,2.4,25
SECCHI_DEPTH,4AROA183.64,6,1.508,1,2.1,38
SECCHI_DEPTH,4AROA183.64,7,1.308,1,1.7,25
SECCHI_DEPTH,4AROA183.64,8,1.06,0.6,1.8,37
SECCHI_DEPTH,4AROA183.64,9,1.1478260869565218,0.5,1.8,23
SECCHI_DEPTH,4AROA183.64,10,1.6047619047619048,0.6,2.9,32
SECCHI_DEPTH,4AROA192.94,5,0.819047619047619,0.2,1.3,25
SECCHI_DEPTH,4AROA192.94,6,0.804,0.4,1.3,35
SECCHI_DEPTH,4AROA192.94,7,0.7576923076923077,0.2,1.1,26
SECCHI_DEPTH,4AROA192.94,8,0.812,0.2,1.3,35
SECCHI_DEPTH,4AROA192.94,9,0.8090909090909091,0.5,1.2,23
SECCHI_DEPTH,4AROA192.94,10,0.7666666666666667,0.2,1.2,30
SECCHI_DEPTH,4AROA196.05,5,1.14375,0.1,1.9,24
SECCHI_DEPTH,4AROA196.05,6,0.9368421052631579,0.2,1.7,37
SECCHI_DEPTH,4AROA196.05,7,0.9045454545454545,0.1,2.4,25
SECCHI_DEPTH,4AROA196.05,8,0.861904761904762,0.1,1.5,39
SECCHI_DEPTH,4AROA196.05,9,1.035,0.5,1.7,24
SECCHI_DEPTH,4AROA196.05,10,1.04,0.2,2.4,33
SECCHI_DEPTH,4ASRE046.90,5,3.2,1.9,3.9,18
SECCHI_DEPTH,4ASRE046.90,6,3.6916666666666664,2.9,4.9,22
SECCHI_DEPTH,4ASRE046.90,7,3.664285714285714,1.8,4.7,21
SECCHI_DEPTH,4ASRE046.90,8,3.2846153846153845,2.3,4.1,23
SECCHI_DEPTH,4ASRE046.90,9,4,3,6.5,19
SECCHI_DEPTH,4ASRE046.90,10,3.588888888888889,1.5,4.5,17
SECCHI_DEPTH,4ASRE048.98,5,2.9307692307692306,1.6,3.9,17
SECCHI_DEPTH,4ASRE048.98,6,3.1416666666666666,2.6,4.1,16
SECCHI_DEPTH,4ASRE048.98,7,3.0714285714285716,1.5,4.1,16
SECCHI_DEPTH,4ASRE048.98,8,2.6285714285714286,2,3.4,15
SECCHI_DEPTH,4ASRE048.98,9,3.1083333333333334,2.1,3.8,14
SECCHI_DEPTH,4ASRE048.98,10,3.118181818181818,1.4,4.5,14
SECCHI_DEPTH,4ASRE052.31,5,2.7888888888888888,1.8,3.4,13
SECCHI_DEPTH,4ASRE052.31,6,2.7875,2,3.5,12
SECCHI_DEPTH,4ASRE052.31,7,2.8,1.6,4,11
SECCHI_DEPTH,4ASRE052.31,8,2.709090909090909,2.1,3.4,12
SECCHI_DEPTH,4ASRE052.31,9,3.011111111111111,2.5,3.5,10
SECCHI_DEPTH,4ASRE052.31,10,2.9555555555555557,1.3,4.5,12
SECCHI_DEPTH,4ASRE056.06,5,2.375,1.5,3.1,21
SECCHI_DEPTH,4ASRE056.06,6,2.475,1.3,3.7,17
SECCHI_DEPTH,4ASRE056.06,7,2.435714285714286,1.7,3.1,18
SECCHI_DEPTH,4ASRE056.06,8,2.2642857142857142,1.5,2.9,17
SECCHI_DEPTH,4ASRE056.06,9,2.481818181818182,2,2.9,15
SECCHI_DEPTH,4ASRE056.06,10,2.4545454545454546,1.6,3.6,15
SECCHI_DEPTH,4AWTH000.40,5,2.81,1.7,4.4,25
SECCHI_DEPTH,4AWTH000.40,6,3.412,2.2,6.1,31
SECCHI_DEPTH,4AWTH000.40,7,3.275,1.5,4.6,25
SECCHI_DEPTH,4AWTH000.40,8,2.828,1.8,4,29
SECCHI_DEPTH,4AWTH000.40,9,2.9458333333333333,1.8,4.6,25
SECCHI_DEPTH,4AWTH000.40,10,3.0473684210526315,2.1,4.2,24
SECCHI_DEPTH,7-LTR000.95,5,0.45714285714285713,0.3,0.6,8
SECCHI_DEPTH,7-LTR000.95,6,0.42857142857142855,0.3,0.6,8
SECCHI_DEPTH,7-LTR000.95,7,0.39166666666666666,0.3,0.6,12
SECCHI_DEPTH,7-LTR000.95,8,0.375,0.3,0.5,12
SECCHI_DEPTH,7-LTR000.95,9,0.36666666666666664,0.3,0.5,9
SECCHI_DEPTH,7-LTR000.95,10,0.3666666666666667,0.3,0.5,6
SECCHI_DEPTH,8-COL000.99,6,1.945,1.3,3.2,10
SECCHI_DEPTH,8-COL000.99,8,2.07,1.5,3.1,10
SECCHI_DEPTH,8-COL000.99,10,1.77,1.2,3.5,10
SECCHI_DEPTH,8-NAR034.92,5,2.18,1.7,2.8,11
SECCHI_DEPTH,8-NAR034.92,6,1.8454545454545455,1.3,2.3,12
SECCHI_DEPTH,8-NAR034.92,7,1.9555555555555557,0.8,2.7,11
SECCHI_DEPTH,8-NAR034.92,8,1.5307692307692309,1.1,2.2,13
SECCHI_DEPTH,8-NAR034.92,9,1.5333333333333334,0.9,1.8,9
SECCHI_DEPTH,8-NAR034.92,10,1.8461538461538463,0.8,2.9,13
SECCHI_DEPTH,8-NAR043.00,5,2.1875,1.4,3.2,9
SECCHI_DEPTH,8-NAR043.00,6,1.998076923076923,1.2,2.8,13
SECCHI_DEPTH,8-NAR043.00,7,1.67,0.9,2.3,10
SECCHI_DEPTH,8-NAR043.00,8,1.5538461538461539,0.9,2,13
SECCHI_DEPTH,8-NAR043.00,9,1.5888888888888888,1,2.1,9
SECCHI_DEPTH,8-NAR043.00,10,1.8419642857142857,1,2.7,14
SECCHI_DEPTH,8-NAR047.69,5,1.91875,1.4,2.6,16
SECCHI_DEPTH,8-NAR047.69,6,2.088888888888889,1.2,3,19
SECCHI_DEPTH,8-NAR047.69,7,2.05,1.2,2.8,18
SECCHI_DEPTH,8-NAR047.69,8,1.6136363636363638,1,2.3,23
SECCHI_DEPTH,8-NAR047.69,9,1.55625,0.8,2.3,16
SECCHI_DEPTH,8-NAR047.69,10,1.73,1,2.8,21
SECCHI_DEPTH,8-NAR054.17,5,0.9636363636363636,0.5,1.4,11
SECCHI_DEPTH,8-NAR054.17,6,0.9736842105263158,0.3,1.5,19
SECCHI_DEPTH,8-NAR054.17,7,0.89375,0.5,1.5,17
SECCHI_DEPTH,8-NAR054.17,8,0.855,0.6,1.3,20
SECCHI_DEPTH,8-NAR054.17,9,0.8857142857142857,0.5,1.3,14
SECCHI_DEPTH,8-NAR054.17,10,0.9666666666666667,0.8,1.3,18
SECCHI_DEPTH,8-NAR058.01,5,0.6333333333333333,0.6,0.7,3
SECCHI_DEPTH,8-NAR058.01,6,0.4791666666666667,0.3,0.65,12
SECCHI_DEPTH,8-NAR058.01,7,0.35,0.3,0.5,5
SECCHI_DEPTH,8-NAR058.01,8,0.38076923076923075,0.25,0.95,15
SECCHI_DEPTH,8-NAR058.01,9,0.34,0.3,0.4,5
SECCHI_DEPTH,8-NAR058.01,10,0.5458333333333333,0.3,0.95,12
SECCHI_DEPTH,8-PLT001.34,6,0.9666666666666667,0.55,1.3,12
SECCHI_DEPTH,8-PLT001.34,8,0.7766666666666666,0.4,1,12
SECCHI_DEPTH,8-PLT001.34,10,1.0333333333333334,0.55,1.95,12
SECCHI_DEPTH,8-PMC002.13,5,1.28,0.9,1.6,7
SECCHI_DEPTH,8-PMC002.13,6,1.4545454545454546,0.9,2.2,13
SECCHI_DEPTH,8-PMC002.13,7,1.4454545454545453,0.6,2,14
SECCHI_DEPTH,8-PMC002.13,8,1.1636363636363636,0.9,1.5,12
SECCHI_DEPTH,8-PMC002.13,9,1.1454545454545455,0.8,1.7,11
SECCHI_DEPTH,8-PMC002.13,10,1.3454545454545455,0.9,1.9,14
SECCHI_DEPTH,8-PMC008.60,6,0.27954545454545454,0.1,0.45,11
SECCHI_DEPTH,8-PMC008.60,8,0.2175,0.1,0.3,11
SECCHI_DEPTH,8-PMC008.60,10,0.3681818181818182,0.2,0.65,11
SECCHI_DEPTH,9-NEW087.14,5,2.2181818181818183,1.2,3.7,31
SECCHI_DEPTH,9-NEW087.14,6,2.0285714285714285,1,3.9,36
SECCHI_DEPTH,9-NEW087.14,7,1.8695652173913044,1.3,3,33
SECCHI_DEPTH,9-NEW087.14,8,1.9375,1.2,3.1,38
SECCHI_DEPTH,9-NEW087.14,9,2.4952380952380953,1.5,4.1,28
SECCHI_DEPTH,9-NEW087.14,10,2.37,0.3,3.5,33
SECCHI_DEPTH,9-NEW089.34,5,2.2666666666666666,1.2,3.2,31
SECCHI_DEPTH,9-NEW089.34,6,1.95,1,3.4,34
SECCHI_DEPTH,9-NEW089.34,7,1.7434782608695651,1.1,2.5,33
SECCHI_DEPTH,9-NEW089.34,8,1.8375,1.2,3,38
SECCHI_DEPTH,9-NEW089.34,9,2.3095238095238098,1.4,3.2,28
SECCHI_DEPTH,9-NEW089.34,10,2.4050000000000002,0.3,3.4,32
SECCHI_DEPTH,9-NEW092.66,5,1.7565217391304349,1,2.8,30
